levelname,minsolutionlength,solution,numberofmoves,maxnumcandidatesinmem,numvisitedstates,visitedstateimproved,visitedstatedropped
levels/P1L24,24,"(5,6)-SQR-D/(1,4)-MSE-L/(3,3)-MSE-U/(1,1)-MSE-D/(1,3)-MSE-L/(5,3)-HOG-U/(6,6)-SQR-L/(1,3)-HOG-D/(6,3)-HOG-R/(6,6)-HOG-U/(3,1)-MSE-U/(2,1)-MSE-R/(2,3)-MSE-U/(1,1)-MSE-R/(1,2)-MSE-D/(2,2)-MSE-R/(6,1)-SQR-R/(2,3)-MSE-D/(6,3)-MSE-L/(1,3)-MSE-D/(6,3)-MSE-L/(6,6)-SQR-L/(6,3)-SQR-U/(1,3)-SQR-R/",17551,109,1291,0,14625,
levels/P1L25,26,"(5,6)-HOG-D/(6,6)-HOG-L/(6,5)-HOG-U/(4,5)-HOG-L/(2,1)-HOG-D/(3,1)-HOG-R/(3,4)-HOG-U/(4,1)-HOG-R/(6,1)-MSE-U/(4,5)-HOG-L/(4,1)-HOG-D/(6,8)-SQR-L/(6,5)-SQR-U/(4,5)-SQR-L/(2,1)-MSE-D/(4,1)-SQR-R/(4,5)-SQR-D/(3,1)-MSE-R/(3,4)-MSE-D/(5,4)-MSE-R/(5,6)-MSE-D/(6,6)-MSE-R/(6,8)-MSE-U/(6,5)-SQR-R/(6,8)-SQR-U/(2,8)-SQR-L/",44366,941,4019,5,37690,
levels/P1L26,25,"(1,7)-MSE-L/(1,5)-MSE-D/(2,5)-MSE-L/(6,1)-MSE-R/(6,4)-MSE-U/(3,4)-MSE-L/(1,1)-SQR-D/(3,1)-MSE-R/(2,1)-SQR-R/(2,2)-SQR-D/(3,4)-MSE-D/(2,4)-MSE-D/(3,2)-SQR-R/(5,4)-MSE-R/(3,4)-SQR-D/(5,6)-MSE-L/(4,8)-HOG-L/(4,6)-HOG-D/(5,4)-SQR-L/(5,6)-HOG-L/(5,4)-HOG-U/(5,2)-SQR-R/(5,6)-SQR-U/(4,6)-SQR-R/(4,8)-SQR-D/",253200,4692,21389,954,222328,
levels/P1L27,21,"(3,5)-HOG-L/(5,3)-HOG-U/(4,3)-HOG-R/(4,4)-HOG-U/(5,2)-HOG-R/(3,3)-HOG-D/(4,3)-HOG-R/(4,4)-HOG-U/(2,6)-HOG-L/(6,5)-MSE-R/(6,7)-MSE-U/(6,4)-SQR-R/(6,7)-SQR-U/(2,5)-HOG-D/(3,5)-HOG-L/(5,3)-HOG-L/(3,3)-HOG-D/(2,4)-HOG-D/(4,4)-HOG-L/(1,4)-HOG-D/(2,7)-SQR-L/",203482,1655,10404,4,170797,
levels/P1L28,8,"(2,4)-SQR-R/(2,5)-SQR-U/(1,3)-MSE-R/(5,4)-HOG-U/(4,3)-HOG-U/(2,4)-HOG-L/(4,5)-HOG-L/(1,5)-SQR-D/",2988,65,233,0,1838,
levels/P1L29,11,"(1,2)-MSE-D/(2,2)-MSE-R/(2,3)-MSE-D/(5,5)-HOG-L/(5,3)-HOG-U/(5,7)-MSE-L/(3,1)-SQR-D/(5,1)-MSE-R/(5,7)-MSE-U/(4,1)-SQR-R/(4,6)-SQR-U/",7849,150,690,1,6615,
levels/P1L30,11,"(6,4)-MSE-U/(3,4)-MSE-R/(2,3)-HOG-D/(3,5)-MSE-L/(6,2)-HOG-U/(6,3)-HOG-L/(6,2)-HOG-U/(6,8)-SQR-L/(4,2)-HOG-R/(3,2)-HOG-R/(6,2)-SQR-U/",1565,29,144,0,1075,
levels/P1L31,11,"(4,4)-MSE-L/(4,1)-SQR-R/(4,2)-SQR-D/(6,4)-MSE-R/(4,3)-MSE-U/(6,8)-MSE-L/(1,3)-MSE-R/(6,6)-MSE-U/(6,2)-SQR-R/(6,6)-SQR-U/(3,6)-SQR-R/",28019,1215,3012,47,25006,
levels/P1L32,21,"(6,4)-MSE-R/(6,5)-MSE-U/(5,5)-MSE-R/(5,7)-MSE-D/(4,8)-HOG-L/(4,7)-HOG-D/(5,7)-HOG-L/(1,4)-HOG-D/(4,4)-HOG-L/(5,4)-HOG-U/(4,2)-HOG-R/(1,4)-HOG-D/(2,2)-SQR-L/(3,4)-HOG-L/(4,4)-HOG-U/(5,2)-HOG-U/(3,2)-HOG-R/(2,1)-SQR-R/(4,2)-HOG-R/(2,2)-SQR-D/(5,2)-SQR-L/",5066,82,384,0,3955,
levels/P1L33,13,"(4,2)-MSE-R/(4,5)-MSE-U/(4,7)-HOG-L/(5,8)-SQR-U/(1,5)-MSE-D/(4,1)-HOG-D/(1,2)-MSE-D/(4,2)-MSE-R/(4,5)-MSE-U/(4,8)-SQR-L/(4,5)-SQR-U/(2,5)-SQR-R/(2,6)-SQR-U/",17549,480,1696,2,14554,
levels/P1L34,18,"(1,1)-SQR-R/(6,4)-HOG-U/(6,5)-HOG-L/(1,6)-SQR-D/(1,7)-MSE-L/(6,6)-SQR-U/(1,1)-MSE-R/(1,6)-SQR-D/(4,4)-HOG-R/(4,7)-HOG-U/(6,4)-HOG-U/(4,4)-HOG-R/(1,5)-MSE-D/(6,3)-HOG-R/(6,4)-HOG-U/(6,6)-SQR-L/(4,4)-HOG-R/(6,3)-SQR-U/",640109,7534,39095,74,548224,
levels/P1L35,10,"(5,3)-MSE-U/(2,5)-HOG-D/(2,3)-SQR-R/(5,5)-HOG-L/(3,3)-MSE-L/(3,2)-MSE-U/(2,5)-SQR-D/(2,2)-MSE-R/(5,5)-SQR-U/(3,5)-SQR-R/",6183,153,693,4,4975,
levels/P1L36,23,"(3,4)-MSE-R/(2,4)-MSE-D/(1,4)-MSE-D/(3,6)-MSE-L/(5,4)-MSE-U/(4,4)-MSE-L/(6,4)-MSE-U/(4,2)-MSE-D/(4,4)-MSE-L/(6,2)-MSE-U/(4,2)-MSE-R/(1,2)-SQR-D/(3,4)-MSE-U/(4,4)-MSE-U/(4,2)-SQR-R/(2,4)-MSE-D/(1,4)-MSE-D/(3,4)-MSE-R/(4,4)-SQR-U/(3,6)-MSE-U/(3,4)-SQR-R/(3,6)-SQR-U/(2,6)-SQR-R/",42355,433,3086,7,39095,
levels/P2L01,4,"(2,5)-WLF-L/(5,4)-SQR-D/(4,3)-WLF-R/(6,4)-SQR-U/",61,2,5,0,48,
levels/P2L02,4,"(2,3)-MSE-R/(3,7)-WLF-L/(3,6)-WLF-D/(3,3)-SQR-R/",51,5,10,0,31,
levels/P2L03,8,"(4,5)-MSE-U/(4,6)-SQR-U/(4,2)-WLF-R/(2,6)-SQR-D/(2,5)-MSE-D/(4,5)-MSE-L/(4,6)-SQR-L/(4,3)-SQR-U/",941,28,107,0,735,
levels/P2L04,8,"(6,5)-WLF-U/(3,5)-WLF-R/(3,7)-WLF-D/(5,3)-SQR-L/(4,7)-WLF-L/(4,3)-WLF-R/(5,2)-SQR-R/(5,3)-SQR-U/",177,5,17,0,123,
levels/P2L05,8,"(3,6)-BER-U/(1,6)-BER-R/(1,8)-BER-D/(5,8)-BER-L/(5,4)-BER-U/(2,4)-BER-U/(6,4)-SQR-U/(2,4)-SQR-L/",106,5,14,0,81,
levels/P2L06,9,"(2,7)-BER-D/(3,5)-MSE-R/(3,7)-MSE-U/(4,7)-BER-U/(3,7)-BER-L/(3,3)-BER-U/(4,3)-SQR-U/(3,3)-SQR-R/(3,7)-SQR-D/",160,3,12,0,127,
levels/P2L07,9,"(5,7)-BER-U/(3,7)-BER-L/(3,4)-BER-U/(4,4)-HOG-U/(3,4)-HOG-R/(5,6)-SQR-U/(3,6)-SQR-L/(3,4)-SQR-D/(4,4)-SQR-L/",1274,40,147,6,1023,
