levelname,minsolutionlength,solution,numberofmoves,maxnumcandidatesinmem,numvisitedstates,visitedstateimproved,visitedstatedropped
levels/P3L10,14,"(3,5)-HOG-R/(3,6)-HOG-U/(5,6)-SQR-U/(6,5)-HOG-R/(3,4)-HOG-L/(3,6)-SQR-L/(6,6)-HOG-U/(3,3)-SQR-U/(3,6)-HOG-L/(3,3)-HOG-D/(1,3)-SQR-D/(3,3)-SQR-R/(3,6)-SQR-D/(6,6)-SQR-L/",258,7,26,0,153,
levels/P3L11,10,"(4,5)-HOG-R/(4,8)-HOG-U/(3,8)-HOG-L/(3,6)-HOG-U/(1,6)-HOG-R/(1,2)-MSE-R/(1,6)-MSE-D/(6,6)-MSE-L/(6,7)-SQR-L/(6,3)-SQR-U/",165,5,19,0,123,
levels/P3L12,13,"(5,1)-MSE-R/(3,1)-MSE-D/(5,1)-MSE-R/(1,1)-SQR-D/(5,7)-MSE-L/(5,5)-MSE-D/(5,3)-MSE-U/(5,1)-SQR-R/(5,3)-SQR-U/(2,3)-SQR-R/(2,5)-SQR-D/(5,5)-SQR-R/(5,7)-SQR-U/",2437,42,255,0,2143,
levels/P3L13,12,"(5,7)-ALG-L/(6,8)-MSE-L/(6,7)-MSE-U/(5,1)-ALG-R/(3,1)-SQR-D/(3,7)-MSE-L/(3,5)-MSE-D/(5,1)-SQR-R/(5,4)-SQR-U/(4,4)-SQR-L/(4,3)-SQR-U/(1,3)-SQR-R/",987,42,136,0,790,
levels/P3L14,10,"(3,5)-SQR-L/(3,2)-SQR-D/(4,2)-SQR-R/(2,5)-MSE-D/(4,5)-SQR-L/(4,2)-SQR-U/(3,2)-SQR-R/(3,4)-SQR-D/(6,4)-SQR-R/(6,7)-SQR-U/",165,17,39,0,117,
levels/P3L15,12,"(1,5)-MSE-L/(1,6)-MSE-L/(1,2)-MSE-D/(1,7)-SQR-L/(1,2)-SQR-D/(5,2)-SQR-L/(1,8)-MSE-L/(1,2)-MSE-D/(5,2)-MSE-R/(5,1)-SQR-R/(5,7)-SQR-U/(3,7)-SQR-L/",218,5,27,0,180,
levels/P3L16,7,"(6,3)-MSE-U/(2,6)-HOG-L/(2,4)-HOG-D/(4,1)-SQR-R/(2,7)-HOG-L/(4,3)-SQR-U/(2,3)-SQR-R/",239,9,28,0,172,
levels/P3L17,10,"(1,2)-ALG-R/(4,3)-HOG-U/(1,3)-HOG-R/(6,3)-SQR-U/(4,7)-HOG-U/(1,3)-SQR-R/(1,4)-SQR-D/(2,4)-SQR-R/(2,7)-SQR-D/(6,7)-SQR-L/",1378,49,172,0,1045,
levels/P3L18,10,"(3,5)-MSE-U/(2,5)-MSE-R/(5,5)-ALG-U/(5,3)-SQR-R/(2,7)-MSE-U/(5,5)-SQR-D/(6,5)-SQR-R/(6,7)-SQR-U/(2,5)-ALG-D/(2,7)-SQR-L/",1322,31,155,0,1019,
levels/P3L19,13,"(1,5)-MSE-R/(1,6)-MSE-D/(3,6)-MSE-L/(3,3)-MSE-D/(6,5)-SQR-L/(6,4)-SQR-U/(5,4)-SQR-L/(5,3)-SQR-U/(6,3)-MSE-R/(6,7)-MSE-U/(3,3)-SQR-R/(3,6)-SQR-U/(1,6)-SQR-L/",470,23,82,2,350,
levels/P3L20,21,"(4,1)-MSE-D/(5,1)-MSE-R/(1,4)-MSE-D/(4,4)-MSE-R/(4,6)-MSE-U/(3,2)-MSE-L/(3,1)-MSE-D/(5,1)-MSE-R/(5,3)-MSE-U/(4,3)-MSE-R/(2,6)-MSE-D/(3,6)-MSE-R/(3,8)-MSE-U/(6,8)-SQR-U/(3,8)-SQR-L/(4,6)-MSE-D/(3,6)-SQR-D/(4,6)-SQR-L/(4,3)-SQR-D/(5,3)-SQR-L/(5,1)-SQR-U/",1053,18,112,0,818,
levels/P3L21,19,"(3,1)-MSE-U/(4,1)-MSE-U/(2,1)-MSE-R/(5,1)-SQR-U/(2,1)-SQR-R/(1,1)-MSE-D/(2,2)-SQR-L/(6,1)-MSE-R/(2,1)-SQR-D/(2,3)-MSE-L/(6,1)-SQR-R/(2,1)-MSE-D/(6,7)-SQR-L/(6,8)-MSE-L/(1,8)-ALG-D/(6,8)-ALG-L/(6,4)-ALG-U/(6,2)-SQR-R/(6,8)-SQR-U/",8997,81,692,3,7910,
levels/P3L22,17,"(2,5)-HOG-L/(6,7)-MSE-L/(5,6)-SQR-U/(6,6)-MSE-U/(5,6)-MSE-L/(5,3)-MSE-D/(2,3)-HOG-D/(4,6)-SQR-D/(6,6)-SQR-R/(5,3)-HOG-R/(6,7)-SQR-L/(6,6)-SQR-U/(4,6)-SQR-L/(4,5)-SQR-D/(5,5)-SQR-L/(5,3)-SQR-U/(2,3)-SQR-R/",2387,46,241,12,1781,
levels/P3L23,25,"(5,3)-HOG-U/(4,3)-HOG-R/(4,6)-HOG-U/(3,6)-HOG-L/(6,1)-SQR-U/(1,7)-MSE-L/(1,5)-MSE-D/(2,5)-MSE-L/(2,8)-MSE-D/(3,8)-MSE-L/(3,6)-MSE-D/(5,6)-MSE-L/(5,3)-MSE-U/(4,3)-MSE-L/(2,4)-MSE-D/(5,4)-MSE-L/(5,3)-MSE-U/(4,1)-MSE-D/(4,3)-MSE-L/(4,1)-MSE-D/(1,1)-SQR-D/(4,1)-SQR-R/(4,6)-SQR-D/(5,6)-SQR-R/(5,7)-SQR-D/",15712,130,1382,0,13910,
levels/P3L24,15,"(1,2)-SQR-D/(4,2)-SQR-R/(5,4)-ALG-R/(1,6)-ALG-D/(4,6)-ALG-L/(5,6)-ALG-U/(4,5)-ALG-R/(1,6)-ALG-D/(4,6)-ALG-D/(6,6)-ALG-L/(4,3)-SQR-D/(6,3)-SQR-R/(3,6)-ALG-R/(6,6)-SQR-U/(1,6)-SQR-L/",5174,69,453,0,4337,
levels/P3L25,21,"(3,6)-MSE-R/(2,6)-MSE-D/(3,6)-MSE-R/(3,7)-MSE-D/(2,5)-MSE-R/(2,6)-MSE-D/(3,6)-MSE-R/(3,8)-MSE-U/(3,7)-MSE-D/(3,3)-ALG-R/(3,8)-ALG-U/(5,7)-MSE-U/(3,7)-MSE-L/(5,5)-SQR-U/(4,5)-SQR-L/(6,7)-MSE-U/(3,7)-MSE-L/(3,6)-MSE-U/(2,6)-MSE-L/(4,4)-SQR-U/(3,4)-SQR-L/",13682,117,995,0,11472,
levels/P3L26,12,"(5,3)-ALG-U/(6,4)-MSE-L/(6,6)-MSE-L/(2,3)-ALG-R/(6,3)-MSE-U/(2,7)-ALG-L/(6,2)-MSE-R/(6,7)-MSE-U/(6,1)-SQR-R/(6,7)-SQR-U/(2,3)-ALG-D/(2,7)-SQR-L/",8978,145,686,1,7760,
levels/P3L27,11,"(2,8)-ALG-D/(1,7)-MSE-D/(2,7)-MSE-L/(3,8)-ALG-U/(2,8)-ALG-L/(2,6)-ALG-D/(4,6)-ALG-L/(4,3)-ALG-U/(4,1)-SQR-D/(5,1)-SQR-R/(5,4)-SQR-U/",3581,66,260,0,2442,
levels/P3L28,19,"(3,1)-MSE-U/(4,1)-SQR-U/(4,2)-MSE-L/(3,3)-ALG-D/(5,3)-ALG-R/(5,7)-ALG-U/(4,1)-MSE-R/(3,1)-SQR-R/(2,1)-MSE-D/(4,1)-MSE-R/(4,3)-MSE-D/(5,3)-MSE-R/(3,3)-SQR-D/(2,7)-ALG-L/(5,3)-SQR-R/(5,6)-SQR-U/(2,6)-SQR-R/(2,7)-SQR-D/(4,7)-SQR-R/",23255,241,1837,2,20420,
levels/P3L29,20,"(4,1)-SQR-U/(2,5)-ALG-R/(2,7)-ALG-D/(6,7)-ALG-L/(2,4)-ALG-R/(2,7)-ALG-D/(2,1)-SQR-R/(2,7)-SQR-U/(5,1)-MSE-U/(6,3)-ALG-U/(6,7)-ALG-L/(6,3)-ALG-U/(5,3)-ALG-R/(5,5)-ALG-U/(2,1)-MSE-R/(2,7)-MSE-D/(6,7)-MSE-L/(1,7)-SQR-D/(6,7)-SQR-L/(6,4)-SQR-U/",16605,171,1206,0,14503,
levels/P3L30,14,"(4,8)-SQR-U/(1,8)-SQR-L/(1,7)-SQR-D/(5,7)-SQR-L/(4,3)-ALG-L/(5,4)-SQR-U/(4,1)-ALG-R/(1,5)-MSE-D/(5,5)-MSE-L/(1,4)-SQR-D/(4,4)-SQR-L/(2,3)-MSE-D/(4,1)-SQR-R/(4,2)-SQR-D/",89624,2511,9052,23,76132,
levels/P3L31,21,"(6,6)-MSE-R/(6,8)-MSE-U/(6,5)-MSE-R/(6,8)-MSE-U/(6,4)-MSE-R/(6,8)-MSE-U/(6,3)-SQR-R/(6,8)-SQR-U/(3,8)-MSE-L/(2,8)-MSE-D/(1,8)-MSE-D/(3,8)-MSE-L/(4,8)-SQR-U/(3,5)-MSE-U/(3,8)-SQR-L/(2,5)-MSE-L/(3,5)-SQR-U/(2,5)-SQR-L/(2,3)-SQR-D/(3,3)-SQR-L/(3,1)-SQR-U/",399833,4419,28165,620,366918,
levels/P3L32,18,"(5,1)-MSE-U/(5,2)-SQR-L/(5,6)-HOG-U/(5,1)-SQR-U/(5,7)-HOG-L/(5,8)-HOG-L/(5,2)-HOG-U/(5,1)-HOG-R/(2,1)-SQR-D/(4,6)-HOG-D/(5,8)-HOG-L/(5,6)-HOG-U/(1,1)-MSE-D/(4,6)-HOG-L/(5,7)-HOG-U/(4,2)-HOG-U/(5,1)-SQR-R/(5,8)-SQR-U/",72201,1323,5536,1,57020,
levels/P3L33,18,"(4,3)-MSE-U/(3,3)-MSE-R/(4,5)-MSE-U/(3,8)-MSE-L/(3,5)-MSE-L/(1,8)-ALG-L/(1,4)-ALG-D/(3,6)-MSE-U/(1,3)-ALG-R/(1,6)-ALG-D/(1,1)-SQR-R/(3,2)-MSE-U/(1,2)-MSE-L/(1,8)-SQR-L/(1,2)-SQR-D/(4,4)-ALG-U/(4,6)-ALG-U/(4,2)-SQR-R/",36091,443,2596,0,29601,
levels/P3L34,31,"(2,3)-MSE-R/(3,3)-MSE-U/(2,7)-MSE-L/(2,4)-MSE-U/(2,3)-MSE-R/(1,4)-MSE-D/(2,7)-MSE-L/(2,5)-MSE-U/(2,4)-MSE-R/(1,3)-MSE-R/(1,4)-MSE-D/(2,4)-MSE-R/(2,6)-MSE-D/(1,5)-MSE-D/(2,7)-MSE-L/(4,6)-MSE-L/(2,6)-MSE-D/(4,4)-MSE-R/(4,5)-MSE-D/(6,5)-MSE-L/(6,6)-SQR-L/(6,5)-SQR-U/(4,6)-MSE-R/(4,5)-SQR-R/(2,5)-MSE-U/(1,5)-MSE-R/(4,6)-SQR-U/(2,6)-SQR-L/(2,3)-SQR-D/(3,3)-SQR-L/(3,1)-SQR-U/",21013,176,1655,89,17793,
levels/P3L35,28,"(3,5)-ALG-R/(5,5)-MSE-U/(3,8)-ALG-D/(1,3)-HOG-D/(4,8)-ALG-L/(6,6)-MSE-U/(4,3)-ALG-R/(1,5)-MSE-D/(5,5)-MSE-R/(6,5)-MSE-U/(2,6)-MSE-L/(5,6)-MSE-L/(1,5)-MSE-D/(5,5)-MSE-R/(5,6)-MSE-U/(2,3)-MSE-D/(2,6)-MSE-L/(2,3)-MSE-D/(4,3)-MSE-L/(4,1)-MSE-U/(5,1)-SQR-U/(5,3)-MSE-U/(4,5)-MSE-L/(4,1)-SQR-R/(4,3)-SQR-U/(2,3)-SQR-R/(2,6)-SQR-D/(6,6)-SQR-R/",272415,1275,14965,2,238153,
levels/P3L36,34,"(6,7)-SQR-L/(3,7)-HOG-D/(4,7)-HOG-L/(1,5)-HOG-D/(3,5)-HOG-L/(4,5)-HOG-R/(4,7)-HOG-U/(3,7)-HOG-L/(3,3)-HOG-D/(3,2)-HOG-R/(3,7)-HOG-D/(4,7)-HOG-L/(4,5)-HOG-U/(1,5)-HOG-R/(6,5)-SQR-U/(1,3)-MSE-D/(5,3)-MSE-R/(5,6)-MSE-D/(6,6)-MSE-L/(6,5)-MSE-U/(2,5)-MSE-R/(1,5)-SQR-D/(2,6)-MSE-L/(6,5)-SQR-U/(3,5)-SQR-R/(3,7)-SQR-D/(4,7)-SQR-L/(2,5)-MSE-D/(4,5)-SQR-R/(4,7)-SQR-U/(3,5)-MSE-L/(3,7)-SQR-L/(3,3)-SQR-U/(1,3)-SQR-L/",26970,182,2330,13,21968,
levels/P4L01,4,"(4,4)-SNK-U/(2,6)-MSE-L/(6,4)-SQR-U/(2,4)-SQR-L/",30,1,3,0,21,
levels/P4L02,4,"(4,2)-SNK-U/(3,7)-MSE-D/(4,7)-MSE-L/(4,8)-SQR-L/",126,10,24,0,96,
levels/P4L03,9,"(5,3)-SNK-R/(3,4)-MSE-D/(2,4)-MSE-D/(2,3)-SQR-R/(5,6)-SNK-U/(4,4)-MSE-R/(2,4)-SQR-D/(4,4)-SQR-R/(4,6)-SQR-D/",408,12,42,0,363,
levels/P4L04,11,"(5,6)-SQR-L/(5,5)-SQR-D/(1,6)-HOG-L/(1,5)-HOG-D/(2,5)-HOG-R/(2,7)-HOG-D/(4,7)-HOG-L/(4,3)-HOG-R/(6,5)-SQR-U/(4,5)-SQR-L/(4,3)-SQR-D/",732,17,90,22,566,
levels/P4L05,8,"(2,7)-PRC-L/(1,3)-SQR-D/(2,3)-SQR-R/(4,2)-PRC-R/(2,7)-SQR-D/(4,7)-SQR-L/(4,2)-SQR-D/(6,2)-SQR-R/",579,39,85,0,449,
levels/P4L06,6,"(2,3)-SQR-D/(3,5)-MSE-R/(3,6)-MSE-D/(5,3)-SQR-R/(5,5)-SQR-U/(1,5)-SQR-R/",375,14,45,1,286,
levels/P4L07,8,"(3,6)-MSE-L/(4,7)-PRC-U/(3,7)-PRC-L/(5,7)-SQR-U/(3,5)-PRC-L/(3,4)-PRC-U/(3,7)-SQR-L/(3,2)-SQR-D/",536,15,51,0,434,
levels/P4L08,8,"(5,4)-SQR-R/(5,6)-SQR-U/(2,4)-MSE-R/(2,6)-SQR-D/(2,5)-MSE-D/(5,5)-MSE-L/(5,6)-SQR-L/(5,3)-SQR-U/",413,21,64,0,326,
levels/P4L09,7,"(6,2)-PRC-U/(4,2)-PRC-R/(4,4)-PRC-U/(2,6)-SNK-L/(2,4)-PRC-L/(6,4)-SQR-U/(2,4)-SQR-R/",551,35,82,0,405,
levels/P4L10,7,"(6,6)-MSE-U/(2,6)-MSE-L/(6,5)-PRC-U/(3,5)-PRC-L/(5,3)-SNK-U/(3,3)-PRC-R/(2,3)-SQR-D/",320,10,24,0,253,
levels/P4L11,7,"(2,3)-SQR-L/(5,6)-SNK-U/(4,6)-SNK-L/(4,4)-SNK-U/(2,7)-PRC-L/(2,5)-PRC-D/(2,2)-SQR-R/",1039,26,79,0,813,
levels/P4L12,8,"(4,3)-PRC-L/(4,2)-PRC-U/(2,4)-SNK-D/(3,4)-SNK-L/(3,2)-PRC-R/(3,6)-PRC-D/(2,6)-SNK-D/(3,1)-SQR-R/",3715,92,302,0,2971,
levels/P4L13,10,"(4,8)-SQR-U/(3,8)-SQR-L/(4,2)-PRC-R/(3,6)-SQR-D/(4,1)-MSE-R/(4,5)-MSE-D/(4,6)-SQR-L/(5,5)-MSE-U/(4,1)-SQR-R/(4,4)-SQR-U/",653,37,96,0,516,
levels/P4L14,10,"(5,3)-SNK-D/(3,3)-MSE-D/(6,1)-SQR-R/(6,2)-SQR-U/(3,2)-SQR-R/(3,4)-SQR-U/(4,7)-MSE-U/(1,7)-MSE-R/(1,4)-SQR-R/(1,7)-SQR-D/",1748,144,285,0,1254,
levels/P4L15,10,"(3,5)-MSE-D/(5,5)-MSE-L/(2,3)-SNK-D/(6,3)-SQR-U/(5,3)-SQR-R/(5,6)-SQR-U/(4,6)-SQR-L/(4,4)-SQR-U/(3,4)-SQR-L/(3,3)-SQR-U/",257,11,44,0,196,
levels/P4L16,5,"(3,4)-SNK-L/(5,4)-MSE-U/(5,5)-MSE-L/(5,4)-MSE-U/(2,2)-SQR-R/",451,15,46,0,354,
levels/P4L17,12,"(1,1)-PRC-R/(3,1)-MSE-U/(1,3)-PRC-D/(1,1)-MSE-R/(4,1)-SQR-U/(4,3)-PRC-L/(1,3)-MSE-D/(1,1)-SQR-R/(1,3)-SQR-D/(3,3)-SQR-R/(3,5)-SQR-D/(6,5)-SQR-L/",12210,549,1412,1,9920,
levels/P4L18,9,"(4,7)-SNK-L/(4,4)-PRC-R/(4,5)-PRC-D/(3,7)-SNK-D/(4,7)-SNK-L/(4,3)-SNK-D/(2,3)-SQR-D/(4,3)-SQR-R/(4,7)-SQR-U/",4057,118,366,0,3521,
levels/P4L19,16,"(5,4)-MSE-L/(5,2)-MSE-U/(1,8)-PRC-L/(3,2)-MSE-R/(3,7)-MSE-U/(1,7)-MSE-R/(1,5)-PRC-R/(5,5)-MSE-L/(5,2)-MSE-U/(3,2)-MSE-L/(1,7)-PRC-D/(3,7)-PRC-L/(3,2)-PRC-D/(5,7)-SNK-L/(5,2)-PRC-U/(5,1)-SQR-R/",21191,301,1729,1,19103,
levels/P4L20,10,"(6,6)-SNK-U/(6,4)-MSE-U/(1,4)-MSE-L/(1,3)-MSE-D/(5,3)-MSE-R/(5,6)-MSE-U/(3,6)-MSE-R/(1,8)-SNK-D/(6,8)-SQR-U/(3,8)-SQR-L/",258,4,23,0,198,
levels/P4L21,16,"(3,5)-SNK-R/(3,2)-SNK-R/(3,6)-SNK-U/(5,1)-SQR-R/(2,1)-MSE-D/(3,7)-SNK-L/(3,1)-SNK-U/(5,1)-MSE-U/(5,2)-SQR-L/(3,8)-SNK-D/(3,1)-MSE-R/(5,1)-SQR-U/(3,8)-MSE-D/(3,1)-SQR-R/(3,8)-SQR-D/(5,8)-SQR-L/",68970,1166,4707,20,63623,
levels/P4L22,10,"(3,6)-PRC-L/(3,5)-PRC-U/(4,5)-SNK-U/(2,8)-MSE-D/(3,3)-SQR-R/(3,7)-SQR-D/(3,8)-MSE-L/(3,1)-PRC-R/(4,7)-SQR-U/(3,7)-SQR-L/",1826,25,146,0,1404,
levels/P4L23,14,"(5,2)-HOG-R/(5,6)-HOG-D/(5,7)-HOG-L/(6,6)-HOG-U/(3,3)-PRC-U/(3,6)-MSE-L/(5,2)-HOG-R/(5,5)-HOG-U/(2,3)-PRC-D/(3,3)-PRC-R/(3,4)-PRC-D/(3,5)-HOG-D/(3,7)-SQR-L/(3,3)-SQR-U/",63421,790,4374,0,55150,
levels/P4L24,10,"(6,4)-SQR-R/(4,8)-SNK-U/(3,6)-MSE-R/(1,8)-SNK-D/(6,8)-SQR-U/(1,5)-MSE-D/(3,3)-SNK-R/(3,8)-SQR-L/(3,5)-SQR-U/(1,5)-SQR-L/",3870,244,528,0,3010,
levels/P4L25,15,"(1,3)-MSE-R/(1,2)-MSE-R/(1,4)-MSE-D/(5,4)-MSE-R/(3,6)-SNK-D/(6,6)-SQR-U/(6,2)-HOG-U/(3,2)-HOG-R/(3,4)-HOG-U/(5,6)-SQR-L/(5,2)-SQR-U/(3,2)-SQR-R/(1,4)-HOG-L/(3,4)-SQR-U/(1,4)-SQR-R/",11375,263,1042,0,9329,
levels/P4L26,18,"(1,2)-SQR-R/(1,6)-SQR-D/(4,6)-SQR-L/(4,5)-SQR-U/(3,8)-MSE-L/(3,6)-MSE-U/(3,5)-SQR-D/(3,2)-PRC-R/(4,5)-SQR-R/(1,6)-MSE-D/(3,6)-MSE-L/(1,1)-MSE-R/(1,6)-MSE-D/(4,6)-SQR-L/(3,6)-MSE-L/(4,5)-SQR-U/(3,5)-SQR-L/(3,3)-SQR-D/",33624,394,2778,34,29001,
levels/P4L27,9,"(3,2)-SNK-R/(3,4)-SNK-D/(3,6)-SNK-L/(5,4)-SNK-U/(4,7)-MSE-L/(4,8)-SQR-L/(4,5)-SQR-D/(5,5)-SQR-L/(5,2)-SQR-U/",13773,253,1146,0,11888,
levels/P4L28,12,"(6,6)-MSE-L/(6,4)-MSE-U/(2,1)-MSE-R/(2,3)-MSE-U/(2,4)-MSE-D/(2,8)-PRC-L/(3,8)-PRC-U/(3,1)-SQR-R/(1,3)-MSE-D/(3,8)-SQR-L/(3,4)-SQR-D/(5,4)-SQR-R/",72039,3727,8267,14,60343,
levels/P4L29,25,"(3,1)-PRC-R/(3,6)-PRC-U/(1,6)-PRC-L/(1,1)-SQR-D/(3,1)-SQR-R/(3,6)-SQR-U/(1,4)-PRC-D/(5,6)-PRC-L/(5,5)-PRC-U/(1,5)-PRC-L/(5,4)-PRC-U/(2,4)-PRC-R/(5,3)-MSE-R/(1,4)-PRC-D/(1,6)-SQR-L/(5,4)-PRC-L/(1,4)-SQR-D/(5,6)-MSE-L/(5,5)-MSE-U/(1,5)-MSE-L/(5,4)-SQR-U/(5,8)-SNK-U/(2,8)-PRC-U/(2,4)-SQR-R/(2,8)-SQR-D/",184572,1715,12666,20,165478,
levels/P4L30,26,"(3,6)-SNK-D/(2,7)-MSE-D/(3,7)-MSE-R/(4,6)-SNK-U/(2,6)-SNK-L/(6,2)-SQR-U/(6,6)-PRC-L/(2,4)-SNK-D/(6,2)-PRC-R/(5,2)-SQR-D/(3,8)-MSE-L/(6,7)-PRC-L/(6,8)-PRC-L/(6,4)-PRC-U/(6,3)-PRC-R/(2,4)-PRC-R/(6,4)-PRC-U/(2,7)-PRC-D/(2,4)-PRC-R/(3,6)-MSE-U/(2,6)-MSE-L/(2,4)-MSE-D/(6,4)-MSE-L/(6,5)-PRC-L/(6,4)-PRC-U/(6,2)-SQR-R/",324375,1711,17237,0,299242,
levels/P4L31,20,"(1,1)-PRC-D/(1,8)-MSE-D/(2,8)-MSE-L/(5,1)-PRC-U/(1,2)-PRC-L/(1,1)-PRC-D/(3,1)-PRC-R/(3,7)-PRC-U/(2,1)-PRC-R/(2,6)-PRC-D/(4,6)-PRC-L/(4,4)-PRC-U/(2,7)-PRC-L/(2,5)-PRC-D/(6,8)-SQR-U/(6,5)-PRC-R/(6,8)-PRC-L/(4,8)-SQR-D/(6,5)-PRC-U/(6,8)-SQR-L/",53910,432,3255,0,46832,
levels/P4L32,21,"(3,4)-MSE-D/(5,4)-MSE-R/(5,6)-MSE-U/(1,6)-MSE-R/(1,1)-PRC-R/(1,6)-PRC-D/(3,2)-MSE-D/(4,2)-MSE-R/(4,6)-MSE-U/(1,6)-MSE-L/(3,1)-MSE-R/(3,2)-MSE-D/(4,2)-MSE-R/(4,6)-MSE-U/(1,1)-MSE-R/(1,6)-MSE-D/(1,8)-SQR-L/(3,3)-MSE-D/(5,3)-MSE-R/(1,6)-SQR-D/(4,6)-SQR-L/",370174,2158,20873,8,317765,
levels/P4L33,13,"(1,3)-SNK-L/(6,4)-SQR-U/(6,2)-MSE-R/(1,4)-SQR-D/(6,8)-MSE-L/(1,1)-SNK-R/(1,5)-SNK-D/(3,1)-MSE-U/(1,1)-MSE-R/(6,4)-SQR-U/(1,4)-SQR-R/(1,5)-SQR-D/(4,5)-SQR-R/",18399,457,1917,7,15641,
levels/P4L34,34,"(6,4)-SNK-U/(5,4)-SNK-R/(5,6)-SNK-U/(3,6)-SNK-L/(1,2)-MSE-R/(1,1)-MSE-R/(3,5)-SNK-U/(1,5)-SNK-L/(6,3)-SNK-U/(5,3)-SNK-R/(5,6)-SNK-U/(3,6)-SNK-L/(3,5)-SNK-U/(1,5)-SNK-L/(6,2)-SNK-U/(5,2)-SNK-R/(5,6)-SNK-U/(3,6)-SNK-L/(3,5)-SNK-U/(1,2)-SNK-R/(1,5)-SNK-D/(1,7)-MSE-L/(1,8)-MSE-L/(6,8)-SQR-U/(3,5)-SNK-R/(3,6)-SNK-D/(1,5)-MSE-D/(1,8)-SQR-L/(3,5)-MSE-R/(1,5)-SQR-D/(3,6)-MSE-D/(3,5)-SQR-R/(3,6)-SQR-D/(5,6)-SQR-L/",655602,3160,35149,33,616034,
levels/P4L35,25,"(3,6)-MSE-D/(5,6)-MSE-L/(5,4)-MSE-U/(3,4)-MSE-L/(5,2)-SNK-U/(1,2)-MSE-D/(2,4)-SQR-D/(3,2)-MSE-R/(3,4)-MSE-U/(1,1)-MSE-R/(1,2)-MSE-D/(3,2)-MSE-R/(3,4)-MSE-U/(6,4)-SQR-U/(3,4)-SQR-L/(5,7)-PRC-L/(5,4)-PRC-U/(3,2)-SQR-U/(3,4)-PRC-L/(1,2)-SQR-L/(3,2)-PRC-U/(1,2)-PRC-D/(1,1)-SQR-R/(3,2)-PRC-R/(1,2)-SQR-D/",133480,897,9465,125,120360,
levels/P4L36,26,"(1,6)-PRC-L/(1,4)-PRC-D/(2,4)-PRC-R/(2,5)-PRC-U/(1,3)-PRC-R/(1,4)-PRC-D/(2,4)-PRC-R/(2,5)-PRC-D/(1,5)-PRC-D/(5,5)-PRC-L/(5,4)-PRC-U/(4,6)-HOG-L/(1,8)-SQR-D/(1,1)-MSE-R/(4,5)-HOG-U/(1,5)-HOG-L/(6,5)-PRC-U/(6,8)-SQR-L/(1,5)-PRC-L/(6,5)-SQR-U/(1,8)-MSE-D/(6,8)-MSE-L/(1,5)-SQR-D/(5,5)-SQR-L/(4,4)-PRC-R/(5,4)-SQR-U/",354273,5879,25410,70,299601,
